title,genre,director,rating
Padman,"Upon realizing the extent to which women are affected by their menses, a man sets out to create a sanitary pad machine and to provide inexpensive sanitary pads to the women of rural India.",R. Balki,7.9
Jolly LLB 2,Jolly is a clumsy lawyer who is faced with representing the most critical court case of his career.,Subhash Kapoor,7.2
Gabbar Is Back,A grief-stricken man takes the law into his own hands when he begins to kidnap and murder corrupt public servants.,Radha Krishna Jagarlamudi,7.1
Secret Superstar,A talented teenage singer-songwriter living amid domestic abuse becomes a YouTube sensation after a video in which she hides her identity goes viral.,Advait Chandan,7.8
Madras Cafe,An Indian intelligence agent journeys to a war-torn coastal island to break a resolute rebel group and meets a passionate journalist.,Shoojit Sircar,7.6
Bhuj: The Pride of India,"During the Indo-Pakistani War of 1971, the Bhuj airbase is attacked and a race against time begins to rebuild the damaged airstrip.",Abhishek Dudhaiya,4.8
Agneepath,A young boy's father is lynched before his eyes; fifteen years later he returns home for revenge.,Karan Malhotra,6.9
Atrangi Re,"A Tamil boy meets a girl from Bihar, what follows is a love story for the ages. A non-linear narrative of two romances running in parallel from different timelines.",Aanand L. Rai,6.5
War,An Indian soldier chases after his mentor who has gone rogue following an unexpected kill.,Siddharth Anand,6.5
Wanted,"Radhe is a ruthless gangster who will kill anyone for money. He is attracted towards Jhanvi, a middle class girl, who does not approve of his work and wants him to change.",Prabhu Deva,6.6
2.0,"After mobiles start mysteriously flying out of the hands of people in Chennai, Dr Vaseegaran summons his trusted robot Chitti to ward off the bird-shaped supernatural powers of Pakshirajan.",S. Shankar,6.1
Heropanti 2,'Heropanti 2' is about a guy who helps people at night. Whether that be saving someone from a robbery or kidnapping. this guy is always there. The Indian government finds out about this and...                See full summary »,Ahmed Khan,4.1
Parmanu: The Story of Pokhran,"Ashwat Raina and his teammates arrive in Pokhran to re-conduct a confidential nuclear test, where they face challenges from the American Lacrosse satellite and local spies.",Abhishek Sharma,7.6
Koi... Mil Gaya,"A developmentally disabled young man tries to continue the work his father did in communicating with extra-terrestrials from outer space, which leads to something miraculous and wonderful.",Rakesh Roshan,7.1
Khosla Ka Ghosla!,A Delhi based retired middle class man tries half-heartedly to get his land back from a swindling property dealer with the help of his sons and their friends.,Dibakar Banerjee,8.3
Bang Bang,"A young bank receptionist gets mixed up with Rajveer Nanda, a man who has a mysterious background.",Siddharth Anand,5.5
Badlapur,Raghu begins walking a fine line between good and evil as he exacts violent revenge on two criminals who killed his family 15 years ago.,Sriram Raghavan,7.4
Darr,A woman plans to marry a navy officer but she is also the object of another man's obsession.,Yash Chopra,7.6
Guru,"A villager, Gurukant Desai, arrives in Bombay 1958, and rises from its streets to become the GURU, the biggest tycoon in Indian history.",Mani Ratnam,7.7
Simmba,"Simmba, a Corrupt Officer, enjoys all the perks of being an immoral and unethical police officer until a life-changing event forces him to choose the righteous path.",Rohit Shetty,5.7
Lakshya,"An aimless, jobless, irresponsible grown man joins the army and matures into a battlefield hero.",Farhan Akhtar,7.8
Bareilly Ki Barfi,"Set in the small-town of Bareilly, Bitti is a free-spirited young girl who lives life on her own terms and refuses to be pressured into getting married. Her life takes a shift when she meets Chirag Dubey and Pritam Vidrohi.",Ashwiny Iyer Tiwari,7.5
Jo Jeeta Wohi Sikandar,"A rich brat and a poor chap try to woo a girl, with their rivalry culminating in the most prestigious college event - the marathon cycle race.",Mansoor Khan,8.2
Ae Dil Hai Mushkil,"This story explores love - the shapes it takes, the ways it changes us and the exhilarating and often terrifying ride it takes us on. It is the journey of two characters, Alizeh and Ayan, as they navigate life, love and heartbreak.",Karan Johar,5.8
Detective Byomkesh Bakshy!,"While investigating the disappearance of a chemist, a detective uncovers a larger conspiracy to unsettle Calcutta.",Dibakar Banerjee,7.6
Jhund,"Based on the life of Vijay Barse, a retired sports teacher who founded an NGO called Slum Soccer. He managed to rehabilitate street kids by keeping them off drugs and crime by turning them into soccer players and building a whole team.",Nagraj Manjule,7.4
Krrish 3,"Krrish and his scientist father must save the world and their own family from an evil man named Kaal and his gang of mutants, led by the ruthless Kaya.",Rakesh Roshan,5.3
Phir Hera Pheri,"Baburao, Raju and Shyam are living happily after having risen from rags to riches. Still, money brings the joy of riches and with it the greed to make more money. And so, with a don as an unknowing investor, Raju initiates a new game.",Neeraj Vora,7.1
Neerja,"The story of courageous Neerja Bhanot, who sacrificed her life while protecting the lives of 359 passengers on Pan Am Flight 73 in 1986 when it was hijacked by a terrorist organization.",Ram Madhvani,7.6
Rowdy Rathore,"A con man uncovers a deadly secret and must save his lady love, the small-town locals and the little girl who insists she's his daughter, from the mob.",Prabhu Deva,5.7
Dil To Pagal Hai,"A grand musical about three passionate and dreamy characters: Rahul, Pooja and Nisha. Will their dreams come true? Will they find their true love?",Yash Chopra,7.0
